OBJECTID,UCS,UCS_F,UCS_TIPO,DEPARTAMENTO,PAISAJE,CLIMA,TIPO_RELIEVE,LITOLOGIA,CARACTERISTICAS,PERFILES,AREA_ha,SHAPE_Leng,NUM_SUELOS,SUELO1,SUELO2,SUELO3,SUELO4,SUELO5,SUELO6,PORC1,PORC2,PORC3,PORC4,PORC5,PORC6
1,RVD,RVDa,Asociacion,Guaviare,Planicie_aluvial,Calido_humedo,Terrazas_medias,Sedimentos_de_poco_espesor_recubriendo_arcillolitas_del_Terciario,Moderadamente profundos y profundos; texturas medias a finas; bien y moderadamente bien drenados; muy alta saturacion de aluminio; reaccion fuerte a muy fuertemente acida. Fertilidad natural muy baja a media,G-24; G-16; GV-42; G-19,5922212122,4906678019,4,Oxyaquic_Dystrudepts,Oxic_Humudepts,Typic_Hapludults,Fluventic_Humudepts,NA,NA,30,30,30,10,NA,NA
2,LVH,LVHai,Grupo_Indiferenciado,Guaviare,Lomerio_erosional,Calido_humedo,Valles_estrechos_con_influencia_coluvioaluvial,Sedimentos_finos_y_medios_desaturados,"Profundos y superficiales, limitados por nivel freatico; bien y pobremente drenados; texturas finas y medias; saturacion de aluminio muy alta; reaccion muy fuerte a extremadamente acidos. Fertilidad natural baja",GV-52; GV-82; GV-66; GV-83; G-34; G-31; GV-18; GV-71; GV-26,9579278658,5355442434,6,Fluventic_Dystrudepts,Oxic_Dystrudepts,Fluvaquentic_Endoaquepts,Typic_Fluvaquents,Typic_Hapludox,Typic_Endoaquerts,25,25,20,20,5,5
3,LVH,LVHai,Grupo_Indiferenciado,Guaviare,Lomerio_erosional,Calido_humedo,Valles_estrechos_con_influencia_coluvioaluvial,Sedimentos_finos_y_medios_desaturados,"Profundos y superficiales, limitados por nivel freatico; bien y pobremente drenados; texturas finas y medias; saturacion de aluminio muy alta; reaccion muy fuerte a extremadamente acidos. Fertilidad natural baja",GV-52; GV-82; GV-66; GV-83; G-34; G-31; GV-18; GV-71; GV-26,6087049486,3250265279,6,Fluventic_Dystrudepts,Oxic_Dystrudepts,Fluvaquentic_Endoaquepts,Typic_Fluvaquents,Typic_Hapludox,Typic_Endoaquerts,25,25,20,20,5,5
4,RVD,RVDa,Asociacion,Guaviare,Planicie_aluvial,Calido_humedo,Terrazas_medias,Sedimentos_de_poco_espesor_recubriendo_arcillolitas_del_Terciario,Moderadamente profundos y profundos; texturas medias a finas; bien y moderadamente bien drenados; muy alta saturacion de aluminio; reaccion fuerte a muy fuertemente acida. Fertilidad natural muy baja a media,G-24; G-16; GV-42; G-19,1254356035,1928648032,4,Oxyaquic_Dystrudepts,Oxic_Humudepts,Typic_Hapludults,Fluventic_Humudepts,NA,NA,30,30,30,10,NA,NA
5,RVC,RVCai,Asociacion,Guaviare,Planicie_aluvial,Calido_humedo,Terrazas_bajas,Sedimentos_aluviales_subrecientes,"Profundos y moderadamente superficiales, limitados por nivel freatico; texturas moderadamente gruesas a moderadamente finas; imperfecta a muy pobremente drenados, con frecuentes inundaciones y/o encharcamientos; baja a muy alta saturacion de aluminio;",GV-38; GV-68; GV-87; G-41; SJ-28; GV-16; SJ-23; GV-70; G-15; GV-14; G-21; GV-15,6931125175,7511532028,6,Oxyaquic_Dystrudepts,Fluventic_Dystrudepts,Fluvaquentic_Eutrudepts,Typic_Endoaquepts,Fluvaquentic_Humaquepts,Typic_Humudepts,40,20,20,10,5,5
6,LVC,LVCb,Complejo,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, bien drenados, con texturas finas y medias; saturacion de aluminio muy alta; reaccion extremadamente acida. La fertilidad natural es muy baja",GV-07; GV-60; GV-61; G-05; G-30; G-32; IN-12; GV-34;GV-57;G-25; GV-12; GV-03;GV-64; G-11; G-33; G-36; GV-01; GV-31; GV-80,3030079977,1189147713,6,Oxic_Dystrudepts,Typic_Hapludox,Typic_Dystrudepts,Inceptic_Hapludox,Typic_Udorthents,Typic_Kandiudults,30,30,20,10,5,5
7,LVA,LVAb,Consociacion,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_ligeramente_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, algunos moderadamente profundos, limitados por nivel freatico; bien a imperfectamente drenados, texturas finas, capacidad de intercambio cationico media, saturacion de aluminio muy alta, reaccion extremadamente acida. Fertilidad natural ba",GV-02; GV-51; GV-76; GV-79; GV-29; G-29; GV-77,657462218,1967067723,4,Oxic_Dystrudepts,Inceptic_Hapludox,Typic_Hapludox,Oxyaquic_Dystrudepts,NA,NA,60,25,10,5,NA,NA
8,LVA,LVAa,Consociacion,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_ligeramente_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, algunos moderadamente profundos, limitados por nivel freatico; bien a imperfectamente drenados, texturas finas, capacidad de intercambio cationico media, saturacion de aluminio muy alta, reaccion extremadamente acida. Fertilidad natural ba",GV-02; GV-51; GV-76; GV-79; GV-29; G-29; GV-77,1772540645,6902449897,4,Oxic_Dystrudepts,Inceptic_Hapludox,Typic_Hapludox,Oxyaquic_Dystrudepts,NA,NA,60,25,10,5,NA,NA
9,LVC,LVCb,Complejo,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, bien drenados, con texturas finas y medias; saturacion de aluminio muy alta; reaccion extremadamente acida. La fertilidad natural es muy baja",GV-07; GV-60; GV-61; G-05; G-30; G-32; IN-12; GV-34;GV-57;G-25; GV-12; GV-03;GV-64; G-11; G-33; G-36; GV-01; GV-31; GV-80,6796262004,1794965473,6,Oxic_Dystrudepts,Typic_Hapludox,Typic_Dystrudepts,Inceptic_Hapludox,Typic_Udorthents,Typic_Kandiudults,30,30,20,10,5,5
10,LVF,LVFe2,Asociacion,Guaviare,Lomerio_erosional,Calido_humedo,Colinas,Rocas_igneas_(sienita_nefelinica),"Profundos y moderadamente profundos; bien drenados; texturas medias a finas; saturacion de aluminio de baja a muy alta; reaccion extremadamente acida, algunos ligeramente alcalinos. Fertilidad natural moderada a baja",G-02; GV-30,785246705,1609245456,3,Dystric_Eutrudepts,Typic_Hapludox,Lithic_Udorthents,NA,NA,NA,50,35,15,NA,NA,NA
